N_iters f_trunc_cg f_trunc_approx_cg f_trunc_trm f_trunc_approx_trm
420 1.4987739705901482e-06 1.4806885182200712e-06 1.1521186800671942e-06 1.172666761391711e-06
425 1.497922031024029e-06 1.4806885182200712e-06 1.151687613400623e-06 1.1714990097880621e-06
430 1.4970112283903724e-06 1.4806885182200712e-06 1.1515150589124562e-06 1.171372058958434e-06
435 1.4963082860577174e-06 1.4806885182200712e-06 1.1509890806290203e-06 1.1704234507934426e-06
440 1.495369410755435e-06 1.4806885182200712e-06 1.1498594293396453e-06 1.1691716491285662e-06
445 1.4945666588246001e-06 1.4806885182200712e-06 1.1479705047670688e-06 1.1683369893837668e-06
450 1.493841241184641e-06 1.4806885182200712e-06 1.1471687220130452e-06 1.16822023773479e-06
455 1.4930621209382846e-06 1.4806885182200712e-06 1.1462173219462923e-06 1.1681289469187655e-06
460 1.4921733846197847e-06 1.4806885182200712e-06 1.1459130207056546e-06 1.1679762793414306e-06
465 1.4914156282215603e-06 1.4806885182200712e-06 1.1455057376122151e-06 1.1675421521239007e-06
470 1.490578818258377e-06 1.4806885182200712e-06 1.145403044224038e-06 1.1668488030551976e-06
475 1.4898393531947528e-06 1.4806885182200712e-06 1.1453170489013941e-06 1.1655879637137512e-06
480 1.4890409126987867e-06 1.4806885182200712e-06 1.1452507391549206e-06 1.1652426790935112e-06
485 1.4883094003446609e-06 1.4806885182200712e-06 1.1451109352585308e-06 1.1647908038841656e-06
490 1.4875350399754415e-06 1.4806885182200712e-06 1.1449102618344934e-06 1.1642316504598144e-06
495 1.486984866042114e-06 1.4806885182200712e-06 1.14412624235685e-06 1.1640199364111884e-06
500 1.4860784115790071e-06 1.4806885182200712e-06 1.1428187874283583e-06 1.1633846024323406e-06
505 1.4853853080218093e-06 1.4806885182200712e-06 1.142436732236833e-06 1.1625112742712309e-06
510 1.4846471784531884e-06 1.4806885182200712e-06 1.1422911859866385e-06 1.1623237546044629e-06
515 1.483984478264629e-06 1.4806885182200712e-06 1.1420102383881377e-06 1.1618972484629126e-06
520 1.4832615924752652e-06 1.4806885182200712e-06 1.141244115749239e-06 1.1617834194119135e-06
525 1.482626002613335e-06 1.4806885182200712e-06 1.1401160868616364e-06 1.161460678145891e-06
530 1.4819302053796083e-06 1.4806885182200712e-06 1.1397214714042799e-06 1.1612779201350627e-06
535 1.4813343814768599e-06 1.4806885182200712e-06 1.139594159471341e-06 1.1611622986949294e-06
540 1.480527831391528e-06 1.4806885182200712e-06 1.1392462134722237e-06 1.1610459565744332e-06
545 1.4799123480230638e-06 1.4806885182200712e-06 1.1390444493533864e-06 1.1608256685396537e-06
550 1.4792608920668762e-06 1.4806885182200712e-06 1.1389878619800617e-06 1.1604839592744654e-06
555 1.4786916891232496e-06 1.4806885182200712e-06 1.1387402059262308e-06 1.160047136550816e-06
560 1.4779298633991949e-06 1.4806885182200712e-06 1.138102003601044e-06 1.1599608539573993e-06
565 1.477424466708569e-06 1.4806885182200712e-06 1.137306600321541e-06 1.1595246538019668e-06
570 1.4766767803983672e-06 1.4806885182200712e-06 1.1369824220051009e-06 1.1590825706624676e-06
575 1.4760663206121197e-06 1.4806885182200712e-06 1.13688270873111e-06 1.1589761119251992e-06
580 1.4754627405956482e-06 1.4806885182200712e-06 1.1362623266709835e-06 1.1585092780733564e-06
585 1.4749541634267406e-06 1.4806885182200712e-06 1.1361995213626363e-06 1.1581015496508152e-06
590 1.4742445403407008e-06 1.4806885182200712e-06 1.1361405329581508e-06 1.1579307542881864e-06
595 1.4737037288439181e-06 1.4806885182200712e-06 1.135859681310148e-06 1.157351615978194e-06
600 1.4730952687991554e-06 1.4806885182200712e-06 1.1354304309923019e-06 1.1565621097301362e-06
605 1.4725245390299776e-06 1.4806885182200712e-06 1.1349111540376315e-06 1.1563592187998032e-06
610 1.4719294130709173e-06 1.4806885182200712e-06 1.1345653859918921e-06 1.156260134118758e-06
615 1.4713765381233797e-06 1.4806885182200712e-06 1.133287387383891e-06 1.156189843603031e-06
620 1.4708424216975856e-06 1.4806885182200712e-06 1.1314093594263854e-06 1.1559599855474703e-06
625 1.4702572700616474e-06 1.4806885182200712e-06 1.1300641390442935e-06 1.1555033020626844e-06
630 1.469746952436329e-06 1.4806885182200712e-06 1.1300641390442935e-06 1.1553131137929988e-06
635 1.4679036667195466e-06 1.4806885182200712e-06 1.130017073177816e-06 1.1551235995836348e-06
640 1.4673127256699478e-06 1.4806885182200712e-06 1.1298771862731273e-06 1.1548748323384444e-06
645 1.4668695192452285e-06 1.4806885182200712e-06 1.129709275664526e-06 1.1547185430660736e-06
650 1.466302274486636e-06 1.4806885182200712e-06 1.1294389349216952e-06 1.1544529787483123e-06
655 1.4646308643049576e-06 1.4806885182200712e-06 1.1293869593492827e-06 1.154035434055518e-06
660 1.4640861699528028e-06 1.4806885182200712e-06 1.1293375522835002e-06 1.1530288076876533e-06
665 1.4635891552226083e-06 1.4806885182200712e-06 1.1292329399195581e-06 1.1529123711415058e-06
670 1.463101248224782e-06 1.4806885182200712e-06 1.1291340271533723e-06 1.1526714805746474e-06
675 1.4626940584821496e-06 1.4806885182200712e-06 1.1290034714890687e-06 1.152305750661295e-06
680 1.4610789442399966e-06 1.4806885182200712e-06 1.128593399957181e-06 1.1515941578225581e-06
685 1.4595624591666832e-06 1.4806885182200712e-06 1.1277438510185424e-06 1.1513941756007054e-06
690 1.4581305925805393e-06 1.4806885182200712e-06 1.1264967595557814e-06 1.1509724093559468e-06
695 1.4567804222490257e-06 1.4806885182200712e-06 1.1247917276802426e-06 1.150220887592575e-06
700 1.4544843473751243e-06 1.4806885182200712e-06 1.1236909397940754e-06 1.1500119086487688e-06
705 1.4539898182238228e-06 1.4806885182200712e-06 1.1236841576279912e-06 1.1496604458558562e-06
710 1.4518238583107895e-06 1.4806885182200712e-06 1.1236139340877088e-06 1.149413386248794e-06
715 1.419355592519453e-06 1.4806885182200712e-06 1.1233037410784795e-06 1.1493544760992917e-06
720 1.40741965961569e-06 1.4806885182200712e-06 1.1230711905905234e-06 1.1492893670658647e-06
725 1.3986746366666153e-06 1.4806885182200712e-06 1.1229292872529962e-06 1.1492451707722062e-06
730 1.3919385784310105e-06 1.4806885182200712e-06 1.122904707909665e-06 1.149158988541708e-06
735 1.3892915212838357e-06 1.4806885182200712e-06 1.1222156594864353e-06 1.1488484400283206e-06
740 1.3821082448933075e-06 1.4806885182200712e-06 1.1221283419232655e-06 1.1484385889212962e-06
745 1.3809805298132107e-06 1.4806885182200712e-06 1.1220991759508166e-06 1.1483854215110673e-06
750 1.3797120466618057e-06 1.4806885182200712e-06 1.1216327624353432e-06 1.148252825711252e-06
755 1.3780323432178337e-06 1.4806885182200712e-06 1.1215618714556748e-06 1.1481252970219653e-06
760 1.375991429927785e-06 1.4806885182200712e-06 1.121507285663639e-06 1.1478672688214976e-06
765 1.375055037189199e-06 1.4806885182200712e-06 1.121374768012592e-06 1.1478476962752256e-06
