t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256 sz_chi_512 sz_chi_1024
0.7000000000000001 0.8789365638663338 0.8631582304291829 0.8485296316974351 0.8425616684663592 0.8386802686800856 0.8348481479953781 0.8321059618484428
0.71 0.881655417137936 0.8653096832677877 0.8504476339568703 0.8444400158098302 0.8401867693239194 0.836081590254387 0.8332030565680613
0.72 0.8842967207163407 0.8673722007738557 0.8522383363337691 0.8461440451955569 0.8414786682083277 0.8370900904571066 0.8340761655288336
0.73 0.8868172660564613 0.869302951481953 0.8538660507291109 0.847644252081706 0.8425387385134787 0.8378618270823727 0.8347151273465443
0.74 0.8891776991724928 0.8710628614975445 0.8553001626920338 0.8489170748287217 0.8433567298065167 0.8383922347211717 0.8351171447226458
0.75 0.8913435796933796 0.8726177084717464 0.8565159167954547 0.8499455027121289 0.8439295160576326 0.8386840034192986 0.835286728049162
0.76 0.893286322356247 0.8739390866918508 0.857495012069018 0.8507195074681042 0.844261014620097 0.8387468462728935 0.835235400910928
0.77 0.8949838960310531 0.8750052118667035 0.85822600647081 0.8512362715827905 0.8443618893388378 0.8385970487066523 0.8349811819486658
0.78 0.8964211442528778 0.8758015313906098 0.8587045308300684 0.8515001949749579 0.8442490567534674 0.8382568174789019 0.8345478670892228
0.79 0.8975896815489265 0.876321112805912 0.8589333146502504 0.8515226773655448 0.8439450180516659 0.8377534540516319 0.833964142600423
0.8 0.8984874763148376 0.8765647961587723 0.8589220241434723 0.8513216862501616 0.8434770430694776 0.8371183847725489 0.8332625625611059
0.81 0.8991183149698572 0.8765411061945073 0.858686909243381 0.8509211286995508 0.8428762364931294 0.8363860858779475 0.8324784260989061
0.8200000000000001 0.899491285428243 0.8762659275465617 0.8582502619205027 0.8503500520262571 0.8421765188867896 0.8355929434404035 0.8316485921809952
0.8300000000000001 0.8996203163090603 0.8757619545031838 0.8576397041977566 0.8496417039440027 0.8414135558340387 0.8347760879611446 0.8308102723686553
0.84 0.8995237486077862 0.8750579350155842 0.8568873379767856 0.8488324863305918 0.84062366846981 0.833972241693259 0.8299998430411963
0.85 0.89922389651497 0.8741877325382743 0.8560287911347033 0.8479608382300482 0.839842758451484 0.8332166141690136 0.8292517175658708
0.86 0.8987465558186062 0.8731892321949042 0.8551021900502569 0.8470660841576257 0.8391052794702643 0.8325418775780955 0.828597315598031
0.87 0.8981204334862286 0.872103124921266 0.8541470857186759 0.8461872836745483 0.8384432853060735 0.8319772491096662 0.82806416141589
0.88 0.8973764921222918 0.8709716127019598 0.8532033604453415 0.8453621174802392 0.8378855809746096 0.8315477031558786 0.8276751368693545
0.89 0.896547220366232 0.8698370839947076 0.8523101422785067 0.8446258432733837 0.8374569988683636 0.8312733330579961 0.8274479078148189
0.9 0.8956658509586168 0.8687408092122249 0.8515047534079072 0.8440103509687574 0.8371778165017196 0.8311688793954649 0.8273945359476899
0.91 0.8947655514873373 0.8677217038791911 0.8508217177051414 0.8435433420375376 0.8370633270267639 0.8312434381224291 0.8275212810890079
0.92 0.8938786108024478 0.8668152034254316 0.8502918530700084 0.8432476526337894 0.8371235683045387 0.831500355869328 0.8278285928600978
0.93 0.8930356408455481 0.866052288046976 0.8499414758734691 0.8431407351446226 0.8373632110767075 0.8319373118919404 0.8283112854850418
0.9400000000000001 0.8922648127720141 0.8654586878988693 0.8497917448850556 0.8432343077002892 0.837781601989584 0.8325465782718048 0.828958884811652
0.9500000000000001 0.8915911483492853 0.8650542890201702 0.8498581683634445 0.8435341758606972 0.8383729536699742 0.8333154434205351 0.8297561320398373
0.96 0.8910358904899478 0.8648527507764087 0.8501502905203426 0.8440402253135632 0.8391266723305864 0.8342267785717312 0.8306836237669059
0.97 0.890615977710228 0.8648613370872923 0.8506715640191785 0.8447465793364781 0.8400278125142203 0.8352597220036602 0.8317185629361552
0.98 0.8903436449948586 0.865080955748682 0.8514194051723071 0.8456419103574082 0.8410576462510386 0.8363904515098447 0.8328355910046776
0.99 0.8902261683511525 0.8655063920693201 0.8523854189307426 0.8467098914202443 0.8421943286710761 0.8375930135758974 0.8340076693187684
