t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.8300000000000001 0.945182232011051 0.9453232887888281 0.9444532140237183 0.9434383406855237 0.9426853849050556
0.84 0.9468090159351157 0.947038999401008 0.9459696002116607 0.9447210362187604 0.9438881394179737
0.85 0.9485376989876708 0.948870434233853 0.9474928288643741 0.9459862456621505 0.9450780549622902
0.86 0.9502752051960263 0.9507187743006773 0.9489451165030942 0.9471755629614947 0.9462020397317539
0.87 0.9519342975265987 0.9524897196970764 0.9502633699144689 0.948245335721035 0.9472210976983314
0.88 0.9534397589775712 0.9540994468914924 0.9514033574975935 0.9491695095453763 0.9481126047525702
0.89 0.9547330176779696 0.9554811499944488 0.9523419144298118 0.9499407809235623 0.9488710137537446
0.9 0.9557754119198301 0.9565902956604765 0.9530771836360359 0.9505698250015787 0.9495070214451969
0.91 0.9565509244288595 0.957407089540743 0.9536272122349108 0.9510829031967598 0.9500453348279373
0.92 0.9570655382568451 0.9579365248180295 0.9540273023279345 0.9515182723780229 0.9505213061670141
0.93 0.9573438406507268 0.958206667626173 0.9543262399110146 0.9519217929820476 0.9509768036737184
0.9400000000000001 0.9574280235455181 0.9582653434022842 0.9545813541200682 0.9523421077474381 0.9514556643700338
0.9500000000000001 0.9573758066278851 0.9581757936758636 0.9548528211374829 0.9528257715758026 0.95199907992489
0.96 0.9572561714107988 0.9580116386937143 0.955197869209267 0.9534127689294909 0.9526414443560747
0.97 0.9571438968770072 0.9578510240325895 0.955665518232266 0.9541328434932961 0.9534071623168785
0.98 0.9571132672187226 0.9577702286563289 0.9562923566605874 0.9550028776319701 0.9543084949055732
0.99 0.9572317024203179 0.9578374085876803 0.9570996708048725 0.9560254357448794 0.9553444669416498
