N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
285 17.99962604557956 1.5257360283507575e-06 3.6300028525627814 1.4806885182200712e-06 80.4988808243663 1.1707624644032612e-06 9.81715374416881 1.1961880986547902e-06
290 18.3154089586599 1.524436964705933e-06 3.6936871131340583 1.4806885182200712e-06 81.91114189146043 1.1701392656948362e-06 9.989384511610368 1.1883912008045235e-06
295 18.631191871740246 1.5234407207043939e-06 3.7573713737053356 1.4806885182200712e-06 83.32340295855458 1.1682553584952713e-06 10.161615279051926 1.1873166347547316e-06
300 18.94697478482059 1.522189198026023e-06 3.8210556342766124 1.4806885182200712e-06 84.73566402564873 1.168131188515284e-06 10.333846046493484 1.1871040381878984e-06
305 19.26275769790093 1.5212076325621615e-06 3.8847398948478893 1.4806885182200712e-06 86.14792509274287 1.1677894873272596e-06 10.506076813935042 1.1863740410791105e-06
310 19.578540610981275 1.5200066253844454e-06 3.948424155419166 1.4806885182200712e-06 87.56018615983702 1.1672702024380324e-06 10.6783075813766 1.1849925670211986e-06
315 19.89432352406162 1.519073346051872e-06 4.0121084159904425 1.4806885182200712e-06 88.97244722693117 1.1671168339763423e-06 10.850538348818159 1.1840555033494948e-06
320 20.21010643714196 1.517920801422917e-06 4.075792676561719 1.4806885182200712e-06 90.3847082940253 1.1662115068563168e-06 11.022769116259717 1.183541458675629e-06
325 20.525889350222304 1.517022889645703e-06 4.139476937132996 1.4806885182200712e-06 91.79696936111945 1.1661082499246245e-06 11.194999883701275 1.1832721190619926e-06
330 20.841672263302648 1.515920633950176e-06 4.203161197704273 1.4806885182200712e-06 93.2092304282136 1.1640107189933008e-06 11.367230651142833 1.182726099775512e-06
335 21.157455176382992 1.5147883093245726e-06 4.26684545827555 1.4806885182200712e-06 94.62149149530775 1.1637116922173925e-06 11.539461418584391 1.1805419672993023e-06
340 21.473238089463333 1.5137057360733635e-06 4.330529718846827 1.4806885182200712e-06 96.03375256240189 1.1600646121234443e-06 11.711692186025948 1.1797555739766673e-06
345 21.789021002543677 1.5128593129629013e-06 4.394213979418104 1.4806885182200712e-06 97.44601362949604 1.1599204619908696e-06 11.883922953467506 1.1795543232127187e-06
350 22.10480391562402 1.5118410186150774e-06 4.457898239989381 1.4806885182200712e-06 98.85827469659019 1.1597553583376002e-06 12.056153720909064 1.1794030465863248e-06
355 22.420586828704362 1.5107717404359884e-06 4.521582500560658 1.4806885182200712e-06 100.27053576368432 1.1596871181085498e-06 12.228384488350622 1.1792636021033475e-06
360 22.736369741784706 1.509773149771018e-06 4.585266761131935 1.4806885182200712e-06 101.68279683077847 1.1596390912727877e-06 12.40061525579218 1.1789439290101657e-06
365 23.05215265486505 1.5090502880038965e-06 4.648951021703212 1.4806885182200712e-06 103.09505789787262 1.1594560261759993e-06 12.572846023233739 1.1784594619637465e-06
370 23.36793556794539 1.5077785497267913e-06 4.712635282274489 1.4806885182200712e-06 104.50731896496676 1.1589575156757531e-06 12.745076790675297 1.1779401851662355e-06
375 23.683718481025736 1.5070116063517794e-06 4.776319542845766 1.4806885182200712e-06 105.9195800320609 1.1582275713025364e-06 12.917307558116855 1.1776955571542426e-06
380 23.99950139410608 1.5058747929683453e-06 4.8400038034170425 1.4806885182200712e-06 107.33184109915506 1.1567766250545643e-06 13.089538325558413 1.1775695940396407e-06
385 24.315284307186424 1.5050985949156777e-06 4.903688063988319 1.4806885182200712e-06 108.7441021662492 1.1567115525654007e-06 13.261769092999971 1.1772103725440275e-06
390 24.631067220266765 1.5040152300402213e-06 4.967372324559596 1.4806885182200712e-06 110.15636323334334 1.1537473764036957e-06 13.43399986044153 1.176898707780522e-06
395 24.94685013334711 1.5032580232452895e-06 5.031056585130873 1.4806885182200712e-06 111.56862430043749 1.1534519755393192e-06 13.606230627883088 1.176519159921743e-06
400 25.262633046427453 1.5022209440016315e-06 5.09474084570215 1.4806885182200712e-06 112.98088536753164 1.153092105707081e-06 13.778461395324646 1.1757235111998528e-06
405 25.578415959507794 1.5014894504376617e-06 5.158425106273427 1.4806885182200712e-06 114.39314643462578 1.1527821984670874e-06 13.950692162766204 1.1754596717221826e-06
410 25.894198872588138 1.5004605630544376e-06 5.222109366844704 1.4806885182200712e-06 115.80540750171993 1.152657808048537e-06 14.122922930207762 1.1741847787529176e-06
415 26.209981785668482 1.4998300979697003e-06 5.2857936274159805 1.4806885182200712e-06 117.21766856881408 1.1524767621426005e-06 14.295153697649319 1.1732351142170481e-06
420 26.525764698748823 1.4987739705901482e-06 5.349477887987257 1.4806885182200712e-06 118.62992963590821 1.1521186800671942e-06 14.467384465090877 1.172666761391711e-06
425 26.841547611829167 1.497922031024029e-06 5.413162148558534 1.4806885182200712e-06 120.04219070300236 1.151687613400623e-06 14.639615232532435 1.1714990097880621e-06
430 27.15733052490951 1.4970112283903724e-06 5.476846409129811 1.4806885182200712e-06 121.45445177009651 1.1515150589124562e-06 14.811845999973993 1.171372058958434e-06
435 27.473113437989852 1.4963082860577174e-06 5.540530669701088 1.4806885182200712e-06 122.86671283719065 1.1509890806290203e-06 14.984076767415552 1.1704234507934426e-06
440 27.788896351070196 1.495369410755435e-06 5.604214930272365 1.4806885182200712e-06 124.2789739042848 1.1498594293396453e-06 15.15630753485711 1.1691716491285662e-06
445 28.10467926415054 1.4945666588246001e-06 5.667899190843642 1.4806885182200712e-06 125.69123497137895 1.1479705047670688e-06 15.328538302298668 1.1683369893837668e-06
450 28.420462177230885 1.493841241184641e-06 5.731583451414918 1.4806885182200712e-06 127.1034960384731 1.1471687220130452e-06 15.500769069740226 1.16822023773479e-06
455 28.736245090311225 1.4930621209382846e-06 5.795267711986195 1.4806885182200712e-06 128.51575710556725 1.1462173219462923e-06 15.672999837181784 1.1681289469187655e-06
460 29.05202800339157 1.4921733846197847e-06 5.858951972557472 1.4806885182200712e-06 129.92801817266138 1.1459130207056546e-06 15.845230604623342 1.1679762793414306e-06
465 29.367810916471914 1.4914156282215603e-06 5.922636233128749 1.4806885182200712e-06 131.34027923975552 1.1455057376122151e-06 16.0174613720649 1.1675421521239007e-06
470 29.683593829552255 1.490578818258377e-06 5.986320493700026 1.4806885182200712e-06 132.75254030684968 1.145403044224038e-06 16.18969213950646 1.1668488030551976e-06
475 29.9993767426326 1.4898393531947528e-06 6.050004754271303 1.4806885182200712e-06 134.16480137394382 1.1453170489013941e-06 16.361922906948017 1.1655879637137512e-06
480 30.315159655712943 1.4890409126987867e-06 6.1136890148425795 1.4806885182200712e-06 135.57706244103795 1.1452507391549206e-06 16.534153674389575 1.1652426790935112e-06
485 30.630942568793284 1.4883094003446609e-06 6.177373275413856 1.4806885182200712e-06 136.98932350813212 1.1451109352585308e-06 16.706384441831133 1.1647908038841656e-06
490 30.946725481873628 1.4875350399754415e-06 6.241057535985133 1.4806885182200712e-06 138.40158457522625 1.1449102618344934e-06 16.87861520927269 1.1642316504598144e-06
495 31.262508394953972 1.486984866042114e-06 6.30474179655641 1.4806885182200712e-06 139.8138456423204 1.14412624235685e-06 17.05084597671425 1.1640199364111884e-06
500 31.578291308034316 1.4860784115790071e-06 6.368426057127687 1.4806885182200712e-06 141.22610670941455 1.1428187874283583e-06 17.223076744155808 1.1633846024323406e-06
505 31.894074221114657 1.4853853080218093e-06 6.432110317698964 1.4806885182200712e-06 142.6383677765087 1.142436732236833e-06 17.395307511597366 1.1625112742712309e-06
